Name,Team,Position,Age,Foot,Weight,College,Salary,Inches,Height_CM
Tim Hardaway Jr.,Dallas Mavericks,SF,29,6,205,Michigan,21308816,5,195.58
Maxi Kleber,Dallas Mavericks,PF,29,6,240,Abroad,8975000,10,208.28
Boban Marjanovic,Dallas Mavericks,C,33,7,290,Abroad,3500000,4,223.52
JaQuori McLaughlin,Dallas Mavericks,G,23,6,190,UC Santa Barbara,0,4,193.04
Eugene Omoruyi,Dallas Mavericks,F,24,6,235,Oregon,0,6,198.12
Kristaps Porzingis,Dallas Mavericks,C,26,7,240,Abroad,31650600,3,220.98
Dwight Powell,Dallas Mavericks,C,30,6,240,Stanford,11080125,10,208.28
JJ Redick,Dallas Mavericks,SG,37,6,200,Duke,0,3,190.5
Tyrell Terry,Dallas Mavericks,PG,20,6,160,Stanford,1517981,2,187.96
D.J. Augustin,Houston Rockets,PG,33,5,183,Texas,7000000,11,180.34
Avery Bradley,Houston Rockets,PG,30,6,180,Texas,0,3,190.5
Armoni Brooks,Houston Rockets,SG,23,6,195,Houston,0,3,190.5
Josh Christopher,Houston Rockets,SG,19,6,215,Arizona State,2259240,5,195.58
Dante Exum,Houston Rockets,PG,26,6,214,Abroad,0,5,195.58
Usman Garuba,Houston Rockets,PF,19,6,230,Abroad,2353320,8,203.2
Eric Gordon,Houston Rockets,SG,32,6,215,Indiana,18218818,3,190.5
Jalen Green,Houston Rockets,SG,19,6,178,Abroad,8992200,6,198.12
Danuel House Jr.,Houston Rockets,SF,28,6,220,Texas A&M,3894000,6,198.12
Matthew Hurt,Houston Rockets,F,21,6,235,Duke,0,9,205.74
Anthony Lamb,Houston Rockets,SF,23,6,227,Vermont,0,6,198.12
Kenyon Martin Jr.,Houston Rockets,SF,20,6,215,Abroad,1517981,6,198.12
David Nwaba,Houston Rockets,SF,28,6,219,Cal Poly,4650000,5,195.58
Kevin Porter Jr.,Houston Rockets,SG,21,6,203,USC,1782621,4,193.04
Alperen Sengun,Houston Rockets,C,19,6,235,Abroad,3214680,9,205.74
Jae'Sean Tate,Houston Rockets,SF,25,6,230,Ohio State,1517981,4,193.04
Daniel Theis,Houston Rockets,C,29,6,245,Abroad,8280351,8,203.2
Khyri Thomas,Houston Rockets,SG,25,6,210,Creighton,1762796,3,190.5
John Wall,Houston Rockets,PG,31,6,210,Kentucky,44310840,3,190.5
D.J. Wilson,Houston Rockets,PF,25,6,231,Michigan,0,10,208.28
Christian Wood,Houston Rockets,C,25,6,214,UNLV,13666667,10,208.28
Steven Adams,Memphis Grizzlies,C,28,6,265,Pittsburgh,17073171,11,210.82
Santi Aldama,Memphis Grizzlies,PF,20,6,215,Loyola (MD),1994520,11,210.82
Kyle Anderson,Memphis Grizzlies,SF,27,6,230,UCLA,9937150,9,205.74
Desmond Bane,Memphis Grizzlies,SG,23,6,215,TCU,2033160,5,195.58
Dillon Brooks,Memphis Grizzlies,SF,25,6,225,Oregon,12200000,7,200.66
Brandon Clarke,Memphis Grizzlies,PF,24,6,215,Gonzaga,2726880,8,203.2
Jarrett Culver,Memphis Grizzlies,G,22,6,195,Texas Tech,6395160,6,198.12
Tim Frazier,Memphis Grizzlies,PG,30,6,170,Penn State,0,0,182.88
Juancho Hernangomez,Memphis Grizzlies,F,25,6,214,Abroad,6907815,9,205.74
Jaren Jackson Jr.,Memphis Grizzlies,PF,21,6,242,Michigan State,9180560,11,210.82
Tyus Jones,Memphis Grizzlies,PG,25,6,196,Duke,8376286,0,182.88
John Konchar,Memphis Grizzlies,SG,25,6,210,Abroad,2200000,5,195.58
Sean McDermott,Memphis Grizzlies,SG,24,6,195,Butler,0,6,198.12
De'Anthony Melton,Memphis Grizzlies,SG,23,6,200,USC,8805976,2,187.96
Sam Merrill,Memphis Grizzlies,SG,25,6,205,Utah State,1517981,4,193.04
Ja Morant,Memphis Grizzlies,PG,22,6,174,Murray State,9603360,3,190.5
Daniel Oturu,Memphis Grizzlies,C,21,6,240,Minnesota,1517981,8,203.2
Yves Pons,Memphis Grizzlies,G,22,6,215,Tennessee,0,6,198.12
Jontay Porter,Memphis Grizzlies,PF,21,6,240,Missouri,1950000,11,210.82
Killian Tillie,Memphis Grizzlies,C,23,6,220,Gonzaga,0,9,205.74
Xavier Tillman,Memphis Grizzlies,C,22,6,245,Michigan State,1517981,8,203.2
Ziaire Williams,Memphis Grizzlies,SG,19,6,185,Stanford,4373040,8,203.2
Nickeil Alexander-Walker,New Orleans Pelicans,SG,23,6,205,Virginia Tech,3261480,6,198.12
Wenyen Gabriel,New Orleans Pelicans,PF,24,6,205,Kentucky,1762796,9,205.74
Devonte' Graham,New Orleans Pelicans,G,26,6,195,Kansas,11000000,1,185.42
Josh Hart,New Orleans Pelicans,SG,26,6,215,Villanova,12000000,5,195.58
Jaxson Hayes,New Orleans Pelicans,C,21,6,220,Texas,5348280,11,210.82
Willy Hernangomez,New Orleans Pelicans,C,27,6,250,Abroad,2327220,11,210.82
Brandon Ingram,New Orleans Pelicans,SF,24,6,190,Duke,29467800,8,203.2
Herbert Jones,New Orleans Pelicans,SF,22,6,210,Alabama,1700000,8,203.2
Kira Lewis Jr.,New Orleans Pelicans,PG,20,6,170,Alabama,3822240,1,185.42
Didi Louzada,New Orleans Pelicans,SF,22,6,185,Abroad,1786878,5,195.58
Naji Marshall,New Orleans Pelicans,SF,23,6,220,Xavier,1517981,7,200.66
Trey Murphy III,New Orleans Pelicans,SG,21,6,206,Virginia,3053760,9,205.74
James Nunnally,New Orleans Pelicans,SF,31,6,205,UC Santa Barbara,0,7,200.66
Tomas Satoransky,New Orleans Pelicans,SG,29,6,210,Abroad,10000000,7,200.66
Garrett Temple,New Orleans Pelicans,SF,35,6,195,LSU,4910000,5,195.58
Jonas Valanciunas,New Orleans Pelicans,C,29,6,265,Abroad,14000000,11,210.82
Zion Williamson,New Orleans Pelicans,PF,21,6,284,Duke,10733400,7,200.66
Al-Farouq Aminu,San Antonio Spurs,PF,30,6,220,Wake Forest,10183800,8,203.2
Keita Bates-Diop,San Antonio Spurs,SF,25,6,229,Ohio State,0,8,203.2
Zach Collins,San Antonio Spurs,PF,23,6,250,Gonzaga,7000000,11,210.82
Drew Eubanks,San Antonio Spurs,PF,24,6,245,Oregon State,1762796,9,205.74
Bryn Forbes,San Antonio Spurs,SG,28,6,205,Cleveland State,4500000,2,187.96
DaQuan Jeffries,San Antonio Spurs,SG,24,6,225,Western Texas Coll. (J.C.),1701593,5,195.58
Keldon Johnson,San Antonio Spurs,SF,21,6,220,Kentucky,2145720,5,195.58
Tre Jones,San Antonio Spurs,PG,21,6,185,Duke,1517981,1,185.42
Jock Landale,San Antonio Spurs,C,25,6,255,Saint Mary's,925258,11,210.82
Doug McDermott,San Antonio Spurs,SF,29,6,225,Creighton,13750000,7,200.66
Dejounte Murray,San Antonio Spurs,PG,24,6,180,Washington,15428880,4,193.04
Jakob Poeltl,San Antonio Spurs,C,25,7,245,Utah,8750000,1,215.9
Joshua Primo,San Antonio Spurs,SG,18,6,190,Alabama,3946800,6,198.12
Luka Samanic,San Antonio Spurs,PF,21,6,227,Abroad,2959080,10,208.28
Devin Vassell,San Antonio Spurs,SG,21,6,200,Florida State,4235160,5,195.58
Lonnie Walker IV,San Antonio Spurs,SG,22,6,204,Miami (FL),4447896,4,193.04
Derrick White,San Antonio Spurs,PG,27,6,190,Colorado,15178571,4,193.04
Joe Wieskamp,San Antonio Spurs,SF,22,6,210,Iowa,0,6,198.12
Thaddeus Young,San Antonio Spurs,PF,33,6,235,Georgia Tech,14190000,8,203.2
Will Barton,Denver Nuggets,SF,30,6,181,Memphis,15625000,6,198.12
Bol Bol,Denver Nuggets,C,21,7,220,Oregon,2161152,2,218.44
Facundo Campazzo,Denver Nuggets,PG,30,5,195,Abroad,3200000,10,177.8
Vlatko Cancar,Denver Nuggets,SF,24,6,236,Abroad,1782621,8,203.2
PJ Dozier,Denver Nuggets,SG,24,6,205,South Carolina,1910860,6,198.12
Aaron Gordon,Denver Nuggets,PF,25,6,235,Arizona,16409091,8,203.2
JaMychal Green,Denver Nuggets,PF,31,6,227,Alabama,8200000,8,203.2
Jeff Green,Denver Nuggets,PF,35,6,235,Georgetown,4500000,8,203.2
Shaquille Harrison,Denver Nuggets,SG,27,6,190,Tulsa,0,7,200.66
Markus Howard,Denver Nuggets,PG,22,5,175,Marquette,0,10,177.8
Nah'Shon Hyland,Denver Nuggets,PG,20,6,165,Virginia Commonwealth,2096880,3,190.5
Nikola Jokic,Denver Nuggets,C,26,6,284,Abroad,31579390,11,210.82
Monte Morris,Denver Nuggets,PG,26,6,183,Iowa State,8449074,2,187.96
Jamal Murray,Denver Nuggets,PG,24,6,215,Kentucky,29467800,3,190.5
Zeke Nnaji,Denver Nuggets,PF,20,6,240,Arizona,2498760,9,205.74
Michael Porter Jr.,Denver Nuggets,SF,23,6,218,Missouri,5258735,10,208.28
Austin Rivers,Denver Nuggets,SG,29,6,200,Duke,1669178,4,193.04
Malik Beasley,Minnesota Timberwolves,SG,24,6,187,Florida State,14491964,4,193.04
Patrick Beverley,Minnesota Timberwolves,PG,33,6,180,Arkansas,14320988,1,185.42
Ed Davis,Minnesota Timberwolves,C,32,6,218,North Carolina,0,9,205.74
Anthony Edwards,Minnesota Timberwolves,SF,20,6,225,Georgia,10245480,4,193.04
Nathan Knight,Minnesota Timberwolves,F,23,6,253,William & Mary,0,10,208.28
Jake Layman,Minnesota Timberwolves,SF,27,6,209,Maryland,3940185,8,203.2
Jaden McDaniels,Minnesota Timberwolves,PF,20,6,185,Washington,2063280,9,205.74
Jordan McLaughlin,Minnesota Timberwolves,PG,25,5,185,USC,0,11,180.34
Jaylen Nowell,Minnesota Timberwolves,SG,22,6,201,Washington,1782621,4,193.04
Josh Okogie,Minnesota Timberwolves,SF,23,6,213,Georgia Tech,4087904,4,193.04
Taurean Prince,Minnesota Timberwolves,PF,27,6,218,Baylor,13000000,7,200.66
Naz Reid,Minnesota Timberwolves,C,22,6,264,LSU,1782621,9,205.74
D'Angelo Russell,Minnesota Timberwolves,PG,25,6,193,Ohio State,30013500,4,193.04
Karl-Anthony Towns,Minnesota Timberwolves,C,25,6,248,Kentucky,31650600,11,210.82
Jarred Vanderbilt,Minnesota Timberwolves,PF,22,6,214,Kentucky,0,9,205.74
Darius Bazley,Oklahoma City Thunder,PF,21,6,208,Abroad,2513040,8,203.2
Charlie Brown Jr.,Oklahoma City Thunder,F,24,6,199,Saint Joseph's,1701593,6,198.12
Gabriel Deck,Oklahoma City Thunder,SF,26,6,231,Abroad,3676852,6,198.12
Luguentz Dort,Oklahoma City Thunder,SF,22,6,215,Arizona State,1782621,3,190.5
Derrick Favors,Oklahoma City Thunder,C,30,6,265,Georgia Tech,9720900,9,205.74
Josh Giddey,Oklahoma City Thunder,SG,18,6,205,Abroad,5988000,8,203.2
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,23,6,180,Kentucky,5495532,6,198.12
Josh Hall,Oklahoma City Thunder,SF,20,6,190,Moravian,0,9,205.74
Jaylen Hoard,Oklahoma City Thunder,SF,22,6,216,Wake Forest,0,8,203.2
Ty Jerome,Oklahoma City Thunder,SG,24,6,195,Virginia,2412840,5,195.58
Vit Krejci,Oklahoma City Thunder,F,21,6,195,Abroad,0,8,203.2
Theo Maledon,Oklahoma City Thunder,PG,20,6,175,Abroad,2000000,4,193.04
Tre Mann,Oklahoma City Thunder,PG,20,6,178,Florida,2901240,3,190.5
Mike Muscala,Oklahoma City Thunder,C,30,6,240,Bucknell,3365385,10,208.28
Svi Mykhailiuk,Oklahoma City Thunder,SG,24,6,205,Kansas,0,7,200.66
Aleksej Pokusevski,Oklahoma City Thunder,PF,19,7,190,Abroad,3113160,0,213.36
Jeremiah Robinson-Earl,Oklahoma City Thunder,PF,20,6,242,Villanova,2000000,8,203.2
Isaiah Roby,Oklahoma City Thunder,C,23,6,230,Nebraska,1782621,8,203.2
Aaron Wiggins,Oklahoma City Thunder,SG,22,6,190,Maryland,0,5,195.58
Kenrich Williams,Oklahoma City Thunder,SF,26,6,210,TCU,2000000,6,198.12
Keljin Blevins,Portland Trail Blazers,SF,25,6,200,Montana State,0,4,193.04
Greg Brown,Portland Trail Blazers,PF,20,6,205,Texas,925258,9,205.74
Robert Covington,Portland Trail Blazers,PF,30,6,209,Tennessee State,12975471,7,200.66
CJ Elleby,Portland Trail Blazers,SG,21,6,200,Washington State,1517981,6,198.12
Harry Giles III,Portland Trail Blazers,PF,23,6,240,Duke,0,11,210.82
Rondae Hollis-Jefferson,Portland Trail Blazers,SF,26,6,217,Arizona,0,6,198.12
T.J. Leaf,Portland Trail Blazers,PF,24,6,222,UCLA,0,10,208.28
Damian Lillard,Portland Trail Blazers,PG,31,6,195,Weber State,39344900,2,187.96
Nassir Little,Portland Trail Blazers,SF,21,6,220,North Carolina,2316240,5,195.58
CJ McCollum,Portland Trail Blazers,SG,29,6,190,Lehigh,30864198,3,190.5
Ben McLemore,Portland Trail Blazers,SG,28,6,195,Kansas,1669178,3,190.5
Larry Nance Jr.,Portland Trail Blazers,PF,28,6,245,Wyoming,10690909,7,200.66
Jusuf Nurkic,Portland Trail Blazers,C,27,6,290,Abroad,12000000,11,210.82
Norman Powell,Portland Trail Blazers,SF,28,6,215,UCLA,15517241,3,190.5
Anfernee Simons,Portland Trail Blazers,SG,22,6,181,Abroad,3938818,3,190.5
Tony Snell,Portland Trail Blazers,SF,29,6,213,New Mexico,1669178,6,198.12
Trendon Watford,Portland Trail Blazers,F,20,6,240,LSU,0,9,205.74
Cody Zeller,Portland Trail Blazers,C,28,6,240,Indiana,1669178,11,210.82
Udoka Azubuike,Utah Jazz,C,21,6,280,Kansas,2075880,10,208.28
Bojan Bogdanovic,Utah Jazz,SF,32,6,226,Abroad,18700000,7,200.66
Jarrell Brantley,Utah Jazz,PF,25,6,250,Charleston,1669178,5,195.58
Jared Butler,Utah Jazz,SG,21,6,195,Baylor,925258,3,190.5
Jordan Clarkson,Utah Jazz,PG,29,6,194,Missouri,12420000,4,193.04
Mike Conley,Utah Jazz,PG,33,6,175,Ohio State,21000000,1,185.42
Trent Forrest,Utah Jazz,SG,23,6,210,Florida State,0,4,193.04
Rudy Gay,Utah Jazz,SF,35,6,250,Connecticut,5890000,8,203.2
Rudy Gobert,Utah Jazz,C,29,7,258,Abroad,35344828,1,215.9
Elijah Hughes,Utah Jazz,SF,23,6,215,Syracuse,1517981,5,195.58
Ersan Ilyasova,Utah Jazz,PF,34,6,235,Abroad,0,9,205.74
Joe Ingles,Utah Jazz,SG,33,6,220,Abroad,13036364,8,203.2
Donovan Mitchell,Utah Jazz,SG,25,6,215,Louisville,28103500,1,185.42
Juwan Morgan,Utah Jazz,SF,24,6,232,Indiana,0,7,200.66
Royce O'Neale,Utah Jazz,PF,28,6,226,Baylor,8800000,4,193.04
Olumiye Oni,Utah Jazz,SG,24,6,206,Yale,1782621,5,195.58
Eric Paschall,Utah Jazz,F,24,6,255,Villanova,1782621,6,198.12
Hassan Whiteside,Utah Jazz,C,32,7,265,Marshall,1669178,0,213.36
