Date,Tm,X,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player,RSorPO
1997-11-09,LAL,Home,GSW,W,0,24:00,11,18,0.61,2,3,0.67,1,2,0.5,2,1,3,5,3,1,0,1,25,24.9,Kobe Bryant,Regular Season
1997-11-16,LAL,Home,VAN,W,0,16:00,2,6,0.33,1,4,0.25,6,6,1,0,1,1,1,0,0,2,2,11,5.8,Kobe Bryant,Regular Season
1997-11-18,LAL,Away,UTA,W,0,29:00,4,10,0.4,0,2,0,11,12,0.92,1,4,5,2,0,2,2,2,19,15.1,Kobe Bryant,Regular Season
1997-11-19,LAL,Home,MIN,W,0,34:00,9,18,0.5,1,5,0.2,1,1,1,0,3,3,3,2,0,2,2,20,13.2,Kobe Bryant,Regular Season
1997-11-23,LAL,Home,LAC,W,0,29:00,8,21,0.38,0,2,0,8,9,0.89,3,2,5,4,4,0,1,3,24,19.4,Kobe Bryant,Regular Season
1997-11-25,LAL,Away,MIA,L,0,27:00,7,21,0.33,1,5,0.2,1,5,0.2,2,0,2,3,3,0,2,2,16,6.2,Kobe Bryant,Regular Season
1997-11-26,LAL,Away,BOS,W,0,28:00,5,11,0.45,1,1,1,3,8,0.38,2,3,5,2,1,0,7,1,14,3.6,Kobe Bryant,Regular Season
1997-11-28,LAL,Away,PHI,L,0,23:00,7,11,0.64,3,5,0.6,2,5,0.4,1,1,2,1,0,1,4,4,19,9.7,Kobe Bryant,Regular Season
1997-11-30,LAL,Home,TOR,W,0,19:00,2,8,0.25,0,1,0,2,2,1,0,5,5,3,1,0,2,3,6,2.6,Kobe Bryant,Regular Season
1997-12-03,LAL,Away,DEN,W,0,24:00,3,10,0.3,1,3,0.33,3,4,0.75,1,3,4,5,0,2,2,1,10,7.9,Kobe Bryant,Regular Season
1997-12-05,LAL,Home,SAS,W,0,27:00,4,10,0.4,1,3,0.33,8,8,1,1,3,4,5,3,0,0,1,17,19.3,Kobe Bryant,Regular Season
1997-12-07,LAL,Home,CLE,L,0,29:00,5,15,0.33,2,4,0.5,9,10,0.9,1,3,4,2,0,0,1,5,21,12.1,Kobe Bryant,Regular Season
1997-12-08,LAL,Away,POR,L,0,25:00,6,14,0.43,1,3,0.33,6,8,0.75,0,2,2,1,1,0,3,3,19,8.9,Kobe Bryant,Regular Season
1997-12-10,LAL,Away,GSW,L,0,30:00,7,15,0.47,2,3,0.67,4,8,0.5,3,3,6,4,1,0,2,0,20,15.5,Kobe Bryant,Regular Season
1997-12-12,LAL,Home,HOU,W,0,26:00,8,15,0.53,2,4,0.5,9,10,0.9,1,4,5,1,2,0,1,1,27,22.5,Kobe Bryant,Regular Season
1997-12-14,LAL,Home,DAL,W,0,32:00,12,21,0.57,3,7,0.43,3,4,0.75,1,2,3,3,0,0,2,3,30,19.9,Kobe Bryant,Regular Season
1997-12-16,LAL,Away,MIN,W,0,23:00,7,15,0.47,0,2,0,5,5,1,2,4,6,0,0,0,1,3,19,11.7,Kobe Bryant,Regular Season
1997-12-17,LAL,Away,CHI,L,0,29:00,12,20,0.6,3,5,0.6,6,9,0.67,2,1,3,2,0,0,0,4,33,24.1,Kobe Bryant,Regular Season
1997-12-19,LAL,Away,ATL,W,0,31:00,7,16,0.44,1,4,0.25,4,6,0.67,1,1,2,1,3,0,2,2,19,11.7,Kobe Bryant,Regular Season
1997-12-20,LAL,Away,CHH,W,0,26:00,5,14,0.36,1,3,0.33,2,2,1,1,0,1,1,0,0,1,3,13,4.4,Kobe Bryant,Regular Season
1997-12-22,LAL,Away,HOU,W,0,27:00,6,13,0.46,2,4,0.5,5,6,0.83,2,3,5,0,2,1,2,3,19,13.7,Kobe Bryant,Regular Season
1997-12-26,LAL,Home,LAC,W,0,27:00,7,15,0.47,2,5,0.4,0,1,0,0,1,1,2,0,1,1,4,16,7.7,Kobe Bryant,Regular Season
1997-12-28,LAL,Home,BOS,L,0,26:00,5,11,0.45,0,2,0,7,10,0.7,0,0,0,1,2,1,2,4,17,9.9,Kobe Bryant,Regular Season
1997-12-30,LAL,Home,SAC,W,0,28:00,4,10,0.4,0,1,0,4,6,0.67,0,4,4,1,0,1,2,2,12,5.6,Kobe Bryant,Regular Season
1998-01-04,LAL,Home,PHI,L,0,31:00,6,18,0.33,1,3,0.33,7,11,0.64,2,4,6,4,2,0,0,5,20,13.6,Kobe Bryant,Regular Season
1998-01-06,LAL,Away,VAN,W,0,25:00,6,10,0.6,1,1,1,3,3,1,1,1,2,2,2,0,1,1,16,14.4,Kobe Bryant,Regular Season
