Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player
1997-98,34,CHI,NBA,SG,1,1,32:00,10,18,0.556,1,1,1,2,3,0.667,1,6,8,3,0,2,0,23,Michael Jordan
2001-02,38,WAS,NBA,SF,1,1,22:00,4,13,0.308,0,0,0,0,0,0,0,4,3,2,0,1,1,8,Michael Jordan
2002-03,39,WAS,NBA,SF,1,1,36:00,9,27,0.333,0,2,0,2,2,1,2,5,2,2,0,2,3,20,Michael Jordan
1997-98,19,LAL,NBA,SG,1,1,22:00,7,16,0.438,2,3,0.667,2,2,1,2,6,1,2,0,1,1,18,Kobe Bryant
1999-00,21,LAL,NBA,SG,1,1,28:00,7,16,0.438,1,4,0.25,0,0,0,1,1,3,2,0,1,3,15,Kobe Bryant
2000-01,22,LAL,NBA,SG,1,1,30:00,9,17,0.529,1,2,0.5,0,0,0,2,4,7,1,0,3,3,19,Kobe Bryant
2001-02,23,LAL,NBA,SG,1,1,30:00,12,25,0.48,0,4,0,7,7,1,2,5,5,1,0,0,2,31,Kobe Bryant
2002-03,24,LAL,NBA,SG,1,1,36:00,8,17,0.471,3,5,0.6,3,6,0.5,2,7,6,3,2,5,5,22,Kobe Bryant
2003-04,25,LAL,NBA,SG,1,1,35:21,9,12,0.75,2,3,0.667,0,1,0,1,4,4,5,1,6,3,20,Kobe Bryant
2004-05,26,LAL,NBA,SG,1,1,29:21,7,14,0.5,2,5,0.4,0,0,0,3,6,7,3,1,4,5,16,Kobe Bryant
2005-06,27,LAL,NBA,SG,1,1,26:15,4,11,0.364,0,5,0,0,0,0,0,7,8,3,0,3,5,8,Kobe Bryant
2006-07,28,LAL,NBA,SG,1,1,28:09,13,24,0.542,3,9,0.333,2,2,1,1,5,6,6,0,4,1,31,Kobe Bryant
2007-08,29,LAL,NBA,SG,1,1,2:52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Kobe Bryant
2008-09,30,LAL,NBA,SG,1,1,29:14,12,23,0.522,3,8,0.375,0,0,0,1,4,4,4,0,1,0,27,Kobe Bryant
2009-10,31,LAL,NBA,SG,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kobe Bryant
2010-11,32,LAL,NBA,SG,1,1,29:21,14,26,0.538,2,7,0.286,7,8,0.875,10,14,3,3,0,4,2,37,Kobe Bryant
2011-12,33,LAL,NBA,SG,1,1,34:48,9,17,0.529,2,5,0.4,7,8,0.875,0,1,1,2,0,1,2,27,Kobe Bryant
2012-13,34,LAL,NBA,SG,1,1,27:36,4,9,0.444,0,3,0,1,2,0.5,2,4,8,2,2,1,2,9,Kobe Bryant
2013-14,35,LAL,NBA,SG,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kobe Bryant
2014-15,36,LAL,NBA,SG,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kobe Bryant
2015-16,37,LAL,NBA,SF,1,1,25:49,4,11,0.364,1,5,0.2,1,2,0.5,1,6,7,1,0,1,1,10,Kobe Bryant
